hard,title,maker,date,sales,ruikei,year,url
SFC,スーパードンキーコング3 謎のクレミス島,任天堂,1996/11/23,514419,514419,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%89%E3%83%B3%E3%82%AD%E3%83%BC%E3%82%B3%E3%83%B3%E3%82%B03+%E8%AC%8E%E3%81%AE%E3%82%AF%E3%83%AC%E3%83%9F%E3%82%B9%E5%B3%B6&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,バハムートラグーン,スクウェア,1996/2/9,474680,474680,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%83%8F%E3%83%A0%E3%83%BC%E3%83%88%E3%83%A9%E3%82%B0%E3%83%BC%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
N64,マリオカート64,任天堂,1996/12/14,460504,460504,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9E%E3%83%AA%E3%82%AA%E3%82%AB%E3%83%BC%E3%83%8864&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,ファイアーエムブレム 聖戦の系譜,任天堂,1996/5/14,429763,429763,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%95%E3%82%A1%E3%82%A4%E3%82%A2%E3%83%BC%E3%82%A8%E3%83%A0%E3%83%96%E3%83%AC%E3%83%A0+%E8%81%96%E6%88%A6%E3%81%AE%E7%B3%BB%E8%AD%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ポポロクロイス物語,SCE,1996/7/12,406454,406454,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9D%E3%83%9D%E3%83%AD%E3%82%AF%E3%83%AD%E3%82%A4%E3%82%B9%E7%89%A9%E8%AA%9E&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,NiGHTS,セガ,1996/7/5,392383,392383,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=NiGHTS&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,女神異聞録ペルソナ,アトラス,1996/9/20,391556,391556,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%A5%B3%E7%A5%9E%E7%95%B0%E8%81%9E%E9%8C%B2%E3%83%9A%E3%83%AB%E3%82%BD%E3%83%8A&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ワールドスタジアムEX,ナムコ,1996/7/26,388152,388152,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0EX&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,スーパーファミスタ5,ナムコ,1996/2/29,382731,382731,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%95%E3%82%A1%E3%83%9F%E3%82%B9%E3%82%BF5&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SS,ときめきメモリアル～forever with you～,KONAMI,1996/7/19,374936,374936,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%A8%E3%81%8D%E3%82%81%E3%81%8D%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A2%E3%83%AB%E3%80%9Cforever+with+you%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
