hard,title,maker,date,sales,ruikei,year,url
PS,ロックマンX5,カプコン,2000/11/30,123137,123137,2000,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AD%E3%83%83%E3%82%AF%E3%83%9E%E3%83%B3X5&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,クロノ・クロス,スクウェア,1999/11/18,123127,688616,2000,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%AF%E3%83%AD%E3%83%8E%E3%83%BB%E3%82%AF%E3%83%AD%E3%82%B9&tag=zoocar-22&link_code=wql&_encoding=UTF-8
DC,Sega GT Homologation Special,セガ,2000/2/17,122150,122150,2000,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=Sega+GT+Homologation+Special&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,MotoGP,ナムコ,2000/10/12,121502,121502,2000,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=MotoGP&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,テイルズ オブ ファンタジア なりきりダンジョン,ナムコ,2000/11/10,120797,120797,2000,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%86%E3%82%A4%E3%83%AB%E3%82%BA+%E3%82%AA%E3%83%96+%E3%83%95%E3%82%A1%E3%83%B3%E3%82%BF%E3%82%B8%E3%82%A2+%E3%81%AA%E3%82%8A%E3%81%8D%E3%82%8A%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,ファイナルファンタジーX,スクウェア,2001/7/19,2264047,2264047,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3%E3%82%BF%E3%82%B8%E3%83%BCX&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,グランツーリスモ3 A-spec,SCE,2001/4/28,1437581,1437581,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%84%E3%83%BC%E3%83%AA%E3%82%B9%E3%83%A23+A-spec&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ドラゴンクエストモンスターズ2 マルタのふしぎな鍵・ルカの旅立ち,エニックス,2001/3/9,1138756,1138756,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA2+%E3%83%9E%E3%83%AB%E3%82%BF%E3%81%AE%E3%81%B5%E3%81%97%E3%81%8E%E3%81%AA%E9%8D%B5%E3%83%BB%E3%83%AB%E3%82%AB%E3%81%AE%E6%97%85%E7%AB%8B%E3%81%A1&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ドラゴンクエストIV　導かれし者たち,エニックス,2001/11/22,1005509,1005509,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88IV%E3%80%80%E5%B0%8E%E3%81%8B%E3%82%8C%E3%81%97%E8%80%85%E3%81%9F%E3%81%A1&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,鬼武者,カプコン,2001/1/25,927534,927534,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%AC%BC%E6%AD%A6%E8%80%85&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GC,大乱闘スマッシュブラザーズDX,任天堂,2001/11/21,798911,798911,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%A4%A7%E4%B9%B1%E9%97%98%E3%82%B9%E3%83%9E%E3%83%83%E3%82%B7%E3%83%A5%E3%83%96%E3%83%A9%E3%82%B6%E3%83%BC%E3%82%BADX&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,みんなのGOLF3,SCE,2001/7/26,797147,797147,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AEGOLF3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,スーパーマリオアドバンス,任天堂,2001/3/21,771899,771899,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9E%E3%83%AA%E3%82%AA%E3%82%A2%E3%83%89%E3%83%90%E3%83%B3%E3%82%B9&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,真・三國無双2,コーエー,2001/9/20,715620,715620,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E7%9C%9F%E3%83%BB%E4%B8%89%E5%9C%8B%E7%84%A1%E5%8F%8C2&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,メタルギアソリッド2 サンズ・オブ・リバティ,KONAMI,2001/11/29,687749,687749,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%A1%E3%82%BF%E3%83%AB%E3%82%AE%E3%82%A2%E3%82%BD%E3%83%AA%E3%83%83%E3%83%892+%E3%82%B5%E3%83%B3%E3%82%BA%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%AA%E3%83%90%E3%83%86%E3%82%A3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,マリオカートアドバンス,任天堂,2001/7/21,685028,685028,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9E%E3%83%AA%E3%82%AA%E3%82%AB%E3%83%BC%E3%83%88%E3%82%A2%E3%83%89%E3%83%90%E3%83%B3%E3%82%B9&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,機動戦士ガンダム 連邦VS.ジオンDX,バンダイ,2001/12/6,584623,584623,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0+%E9%80%A3%E9%82%A6VS.%E3%82%B8%E3%82%AA%E3%83%B3DX&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ポケットモンスター クリスタルバージョン,任天堂,2000/12/14,563109,1628913,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9D%E3%82%B1%E3%83%83%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC+%E3%82%AF%E3%83%AA%E3%82%B9%E3%82%BF%E3%83%AB%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,Devil May Cry（デビル メイ クライ）,カプコン,2001/8/23,554963,554963,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=Devil+May+Cry%EF%BC%88%E3%83%87%E3%83%93%E3%83%AB+%E3%83%A1%E3%82%A4+%E3%82%AF%E3%83%A9%E3%82%A4%EF%BC%89&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,スーパーロボット大戦α外伝,バンプレスト,2001/3/29,545832,545832,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E5%A4%A7%E6%88%A6%CE%B1%E5%A4%96%E4%BC%9D&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,遊☆戯☆王デュエルモンスターズ4 最強決闘者戦記,KONAMI,2000/12/7,532720,2202027,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%81%8A%E2%98%86%E6%88%AF%E2%98%86%E7%8E%8B%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA4+%E6%9C%80%E5%BC%B7%E6%B1%BA%E9%97%98%E8%80%85%E6%88%A6%E8%A8%98&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,ワールドサッカー ウイニングイレブン5,KONAMI,2001/3/15,505694,505694,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC+%E3%82%A6%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%AC%E3%83%96%E3%83%B35&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,From TV animation ONEPIECE グランドバトル！,バンダイ,2001/3/15,450891,450891,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=From+TV+animation+ONEPIECE+%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%83%90%E3%83%88%E3%83%AB%EF%BC%81&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,とっとこハム太郎2 ハムちゃんず大集合でちゅ,任天堂,2001/4/21,419992,419992,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%A8%E3%81%A3%E3%81%A8%E3%81%93%E3%83%8F%E3%83%A0%E5%A4%AA%E9%83%8E2+%E3%83%8F%E3%83%A0%E3%81%A1%E3%82%83%E3%82%93%E3%81%9A%E5%A4%A7%E9%9B%86%E5%90%88%E3%81%A7%E3%81%A1%E3%82%85&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,スーパーマリオアドバンス2,任天堂,2001/12/14,399352,399352,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9E%E3%83%AA%E3%82%AA%E3%82%A2%E3%83%89%E3%83%90%E3%83%B3%E3%82%B92&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,遊戯王デュエルモンスターズ5 エキスパート1,KONAMI,2001/7/5,399253,399253,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%81%8A%E6%88%AF%E7%8E%8B%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA5+%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%91%E3%83%BC%E3%83%881&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ドラゴンクエストモンスターズ2 マルタのふしぎな鍵・イルの冒険,エニックス,2001/4/12,382395,382395,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA2+%E3%83%9E%E3%83%AB%E3%82%BF%E3%81%AE%E3%81%B5%E3%81%97%E3%81%8E%E3%81%AA%E9%8D%B5%E3%83%BB%E3%82%A4%E3%83%AB%E3%81%AE%E5%86%92%E9%99%BA&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ゼルダの伝説 ふしぎの木の実 時空の章,任天堂,2001/2/27,373361,373361,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%BC%E3%83%AB%E3%83%80%E3%81%AE%E4%BC%9D%E8%AA%AC+%E3%81%B5%E3%81%97%E3%81%8E%E3%81%AE%E6%9C%A8%E3%81%AE%E5%AE%9F+%E6%99%82%E7%A9%BA%E3%81%AE%E7%AB%A0&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ゼルダの伝説 ふしぎの木の実 大地の章,任天堂,2001/2/27,372693,372693,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%BC%E3%83%AB%E3%83%80%E3%81%AE%E4%BC%9D%E8%AA%AC+%E3%81%B5%E3%81%97%E3%81%8E%E3%81%AE%E6%9C%A8%E3%81%AE%E5%AE%9F+%E5%A4%A7%E5%9C%B0%E3%81%AE%E7%AB%A0&tag=zoocar-22&link_code=wql&_encoding=UTF-8
N64,ポケモンスタジアム金銀,任天堂,2000/12/14,371516,752491,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9D%E3%82%B1%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0%E9%87%91%E9%8A%80&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,ティアリングサーガ ユトナ英雄戦記,エンターブレイン,2001/5/24,366142,366142,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%86%E3%82%A3%E3%82%A2%E3%83%AA%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%BC%E3%82%AC+%E3%83%A6%E3%83%88%E3%83%8A%E8%8B%B1%E9%9B%84%E6%88%A6%E8%A8%98&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,From TV animation ONEPIECE 夢のルフィ海賊団誕生！,バンプレスト,2001/4/27,361158,361158,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=From+TV+animation+ONEPIECE+%E5%A4%A2%E3%81%AE%E3%83%AB%E3%83%95%E3%82%A3%E6%B5%B7%E8%B3%8A%E5%9B%A3%E8%AA%95%E7%94%9F%EF%BC%81&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,エースコンバット04 シャッタードスカイ,ナムコ,2001/9/13,357742,357742,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%A8%E3%83%BC%E3%82%B9%E3%82%B3%E3%83%B3%E3%83%90%E3%83%83%E3%83%8804+%E3%82%B7%E3%83%A3%E3%83%83%E3%82%BF%E3%83%BC%E3%83%89%E3%82%B9%E3%82%AB%E3%82%A4&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,黄金の太陽 ～開かれし封印～,任天堂,2001/8/1,338097,338097,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%BB%84%E9%87%91%E3%81%AE%E5%A4%AA%E9%99%BD+%E3%80%9C%E9%96%8B%E3%81%8B%E3%82%8C%E3%81%97%E5%B0%81%E5%8D%B0%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,バイオハザード コード：ベロニカ 完全版,カプコン,2001/3/22,337755,337755,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%82%A4%E3%82%AA%E3%83%8F%E3%82%B6%E3%83%BC%E3%83%89+%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%9A%E3%83%99%E3%83%AD%E3%83%8B%E3%82%AB+%E5%AE%8C%E5%85%A8%E7%89%88&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,F-ZERO FOR GAMEBOY ADVANCE,任天堂,2001/3/21,334142,334142,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=F-ZERO+FOR+GAMEBOY+ADVANCE&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,ワリオランドアドバンス ～ヨーキのお宝～,任天堂,2001/8/21,317927,317927,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AF%E3%83%AA%E3%82%AA%E3%83%A9%E3%83%B3%E3%83%89%E3%82%A2%E3%83%89%E3%83%90%E3%83%B3%E3%82%B9+%E3%80%9C%E3%83%A8%E3%83%BC%E3%82%AD%E3%81%AE%E3%81%8A%E5%AE%9D%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GC,ピクミン,任天堂,2001/10/26,312643,312643,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%94%E3%82%AF%E3%83%9F%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,From TV animation ONEPIECE とびだせ海賊団！,バンダイ,2001/8/2,305740,305740,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=From+TV+animation+ONEPIECE+%E3%81%A8%E3%81%B3%E3%81%A0%E3%81%9B%E6%B5%B7%E8%B3%8A%E5%9B%A3%EF%BC%81&tag=zoocar-22&link_code=wql&_encoding=UTF-8
DC,サクラ大戦3 ～巴里は燃えているか～,セガ,2001/3/22,304135,304135,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B5%E3%82%AF%E3%83%A9%E5%A4%A7%E6%88%A63+%E3%80%9C%E5%B7%B4%E9%87%8C%E3%81%AF%E7%87%83%E3%81%88%E3%81%A6%E3%81%84%E3%82%8B%E3%81%8B%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ゲームボーイ ドラゴンクエストIII そして伝説へ・・・,エニックス,2000/12/8,299040,610559,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%9C%E3%83%BC%E3%82%A4+%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88III+%E3%81%9D%E3%81%97%E3%81%A6%E4%BC%9D%E8%AA%AC%E3%81%B8%E3%83%BB%E3%83%BB%E3%83%BB&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,タクティクスオウガ外伝 The Knight of Lodis,任天堂,2001/6/21,282099,282099,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%BF%E3%82%AF%E3%83%86%E3%82%A3%E3%82%AF%E3%82%B9%E3%82%AA%E3%82%A6%E3%82%AC%E5%A4%96%E4%BC%9D+The+Knight+of+Lodis&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,ワールドサッカー ウイニングイレブン5 ファイナルエヴォリューション,KONAMI,2001/12/13,277547,277547,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC+%E3%82%A6%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%AC%E3%83%96%E3%83%B35+%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%AB%E3%82%A8%E3%83%B4%E3%82%A9%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,スーパーロボット大戦A,バンプレスト,2001/9/21,277027,277027,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E5%A4%A7%E6%88%A6A&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,CAPCOM VS.SNK 2 MILLIONAIRE FIGHTING 2001,カプコン,2001/9/13,276594,276594,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=CAPCOM+VS.SNK+2+MILLIONAIRE+FIGHTING+2001&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,実況パワフルプロ野球8,KONAMI,2001/8/30,275292,275292,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%AE%9F%E6%B3%81%E3%83%91%E3%83%AF%E3%83%95%E3%83%AB%E3%83%97%E3%83%AD%E9%87%8E%E7%90%838&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GC,ルイージマンション,任天堂,2001/9/14,271554,271554,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%AB%E3%82%A4%E3%83%BC%E3%82%B8%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,くるくるくるりん,任天堂,2001/3/21,265245,265245,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%8F%E3%82%8B%E3%81%8F%E3%82%8B%E3%81%8F%E3%82%8B%E3%82%8A%E3%82%93&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,パワプロクンポケット3,KONAMI,2001/3/21,256716,256716,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%91%E3%83%AF%E3%83%97%E3%83%AD%E3%82%AF%E3%83%B3%E3%83%9D%E3%82%B1%E3%83%83%E3%83%883&tag=zoocar-22&link_code=wql&_encoding=UTF-8
WS,ファイナルファンタジーII,スクウェア,2001/5/3,241600,241600,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%8A%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3%E3%82%BF%E3%82%B8%E3%83%BCII&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,ドンキーコング2001,任天堂,2001/1/21,240606,240606,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%B3%E3%82%AD%E3%83%BC%E3%82%B3%E3%83%B3%E3%82%B02001&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,ZEONIC FRONT 機動戦士ガンダム0079,バンダイ,2001/9/6,238314,238314,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=ZEONIC+FRONT+%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A00079&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,実戦パチスロ必勝法！獣王,サミー,2001/10/25,235292,235292,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%AE%9F%E6%88%A6%E3%83%91%E3%83%81%E3%82%B9%E3%83%AD%E5%BF%85%E5%8B%9D%E6%B3%95%EF%BC%81%E7%8D%A3%E7%8E%8B&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,桃太郎電鉄X (ばってん) ～九州編もあるばい～,ハドソン,2001/12/13,232099,232099,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%A1%83%E5%A4%AA%E9%83%8E%E9%9B%BB%E9%89%84X+%28%E3%81%B0%E3%81%A3%E3%81%A6%E3%82%93%29+%E3%80%9C%E4%B9%9D%E5%B7%9E%E7%B7%A8%E3%82%82%E3%81%82%E3%82%8B%E3%81%B0%E3%81%84%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
N64,マリオパーティ3,任天堂,2000/12/7,230613,846363,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%91%E3%83%BC%E3%83%86%E3%82%A33&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,実況パワフルプロ野球2001,KONAMI,2001/6/7,222131,222131,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E5%AE%9F%E6%B3%81%E3%83%91%E3%83%AF%E3%83%95%E3%83%AB%E3%83%97%E3%83%AD%E9%87%8E%E7%90%832001&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,シーマン ～禁断のペット～ ガゼー博士の実験島,アスキー,2001/11/15,214427,214427,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B7%E3%83%BC%E3%83%9E%E3%83%B3+%E3%80%9C%E7%A6%81%E6%96%AD%E3%81%AE%E3%83%9A%E3%83%83%E3%83%88%E3%80%9C+%E3%82%AC%E3%82%BC%E3%83%BC%E5%8D%9A%E5%A3%AB%E3%81%AE%E5%AE%9F%E9%A8%93%E5%B3%B6&tag=zoocar-22&link_code=wql&_encoding=UTF-8
N64,どうぶつの森,任天堂,2001/4/14,213797,213797,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%A9%E3%81%86%E3%81%B6%E3%81%A4%E3%81%AE%E6%A3%AE&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GB,爆転シュート ベイブレード,ブロッコリー,2001/7/27,212854,212854,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E7%88%86%E8%BB%A2%E3%82%B7%E3%83%A5%E3%83%BC%E3%83%88+%E3%83%99%E3%82%A4%E3%83%96%E3%83%AC%E3%83%BC%E3%83%89&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,バトルネットワーク ロックマン エグゼ,カプコン,2001/3/21,207285,207285,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%83%88%E3%83%AB%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF+%E3%83%AD%E3%83%83%E3%82%AF%E3%83%9E%E3%83%B3+%E3%82%A8%E3%82%B0%E3%82%BC&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GC,どうぶつの森＋,任天堂,2001/12/14,202224,202224,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%A9%E3%81%86%E3%81%B6%E3%81%A4%E3%81%AE%E6%A3%AE%EF%BC%8B&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,SuperLite 1500 シリーズ The Tetris,サクセス,2000/7/19,201716,243678,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=SuperLite+1500+%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA+The+Tetris&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,はじめの一歩 VICTORIOUS BOXERS,ESP,2000/12/14,199669,342113,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%81%AF%E3%81%98%E3%82%81%E3%81%AE%E4%B8%80%E6%AD%A9+VICTORIOUS+BOXERS&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,決戦II,コーエー,2001/3/29,199386,199386,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E6%B1%BA%E6%88%A6II&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,パチスロ アルゼ王国4,アルゼ,2000/12/14,192643,482820,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%91%E3%83%81%E3%82%B9%E3%83%AD+%E3%82%A2%E3%83%AB%E3%82%BC%E7%8E%8B%E5%9B%BD4&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS2,ARMORED CORE2 ANOTHER AGE,フロム・ソフトウェア,2001/4/12,189634,189634,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=ARMORED+CORE2+ANOTHER+AGE&tag=zoocar-22&link_code=wql&_encoding=UTF-8
GBA,遊戯王デュエルモンスターズ6 エキスパート2,KONAMI,2001/12/20,182329,182329,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%81%8A%E6%88%AF%E7%8E%8B%E3%83%87%E3%83%A5%E3%82%A8%E3%83%AB%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%82%BA6+%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%91%E3%83%BC%E3%83%882&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,PANDORA MAX SERIES Vol.6 ONI零 ～復活～,パンドラボックス,2001/3/22,175056,175056,2001,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=PANDORA+MAX+SERIES+Vol.6+ONI%E9%9B%B6+%E3%80%9C%E5%BE%A9%E6%B4%BB%E3%80%9C&tag=zoocar-22&link_code=wql&_encoding=UTF-8
